LÍNEA 1,Afluencia,SD,LÍNEA 2,Afluencia,SD,LÍNEA 3,Afluencia
Pantitlán,"2,400,619",SD,Cuatro Caminos,"2,722,297",SD,Indios Verdes,"3,540,768"
Zaragoza,"1,549,104",SD,Panteones,"332,284",SD,Deptvo. 18 de Marzo,"901,713"
Gómez Farías,"1,203,240",SD,Tacuba,"1,009,952",SD,Potrero,"461,215"
Blvd. Puerto Aéreo,"862,002",SD,Cuitláhuac,"455,420",SD,La Raza,"946,485"
Balbuena,"398,057",SD,Popotla,"214,288",SD,Tlatelolco,"455,146"
Moctezuma,"747,269",SD,Colegio Militar,"305,058",SD,Guerrero,"320,559"
San Lázaro,"651,993",SD,Normal,"706,543",SD,Hidalgo,"437,874"
Candelaria,"1,171,656",SD,San Cosme,"495,449",SD,Juárez,"478,835"
Merced,"1,921,425",SD,Revolución,"672,370",SD,Balderas,"185,604"
Pino Suárez,"1,476,751",SD,Hidalgo,"711,764",SD,Niños Héroes/PJCDMX,"519,639"
Isabel la Católica,"698,166",SD,Bellas Artes,"524,534",SD,Hospital General,"506,652"
Salto del Agua,"727,402",SD,Allende,"470,901",SD,Centro Médico,"532,592"
Balderas,"668,335",SD,Zócalo,"916,913",SD,Etiopía/Plaza de la Trans.,"796,891"
Cuauhtémoc,"661,982",SD,Pino Suárez,"448,452",SD,Eugenia,"466,241"
Insurgentes,"1,701,662",SD,San Antonio Abad,"524,054",SD,División del Norte,"441,724"
Sevilla,"871,097",SD,Chabacano,"878,753",SD,Zapata,"622,317"
Chapultepec,"1,417,130",SD,Viaducto,"450,071",SD,Coyoacán,"596,947"
Juanacatlán,"284,008",SD,Xola,"439,939",SD,Viveros/Derechos Humanos,"640,498"
Tacubaya,"1,315,554",SD,Villa de Cortés,"435,451",SD,Miguel A. de Quevedo,"1,004,337"
Observatorio,"1,750,933",SD,Nativitas,"457,352",SD,Copilco,"705,157"
SD,SD,SD,Portales,"564,006",SD,Universidad,"1,410,258"
SD,SD,SD,Ermita,"386,483",SD,SD,SD
SD,SD,SD,General Anaya,"400,631",SD,SD,SD
SD,SD,SD,Tasqueña,"1,765,903",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA 4,Afluencia,SD,LÍNEA 5,Afluencia,SD,LÍNEA 6,Afluencia
Santa Anita,"88,363",SD,Politécnico,"1,222,884",SD,El Rosario,"577,409"
Jamaica,"295,616",SD,Inst. del Petróleo,"211,728",SD,Tezozómoc,"202,113"
Fray Servando,"343,244",SD,Autobuses del Norte,"815,014",SD,Azcapotzalco,"308,873"
Candelaria,"409,662",SD,La Raza,"574,682",SD,Ferrería/Arena CDMX,"658,058"
Morelos,"361,784",SD,Misterios,"320,555",SD,Norte 45,"345,256"
Canal del Norte,"366,516",SD,Valle Gómez,"180,762",SD,Vallejo,"387,822"
Consulado,"137,782",SD,Consulado,"261,074",SD,Inst. del Petróleo,"85,399"
Bondojito,"225,857",SD,Eduardo Molina,"268,286",SD,Lindavista,"414,815"
Talismán,"179,752",SD,Aragón,"318,347",SD,Deptvo. 18 de Marzo,"91,953"
Martín Carrera,"669,700",SD,Oceanía,"438,326",SD,La Villa-Basilica,"361,968"
SD,SD,SD,Terminal Aérea,"855,880",SD,Martín Carrera,"940,802"
SD,SD,SD,Hangares,"186,190",SD,SD,SD
SD,SD,SD,Pantitlán,"4,218,668",SD,SD,SD
LÍNEA 7,Afluencia,SD,LÍNEA 8,Afluencia,SD,LÍNEA 9,Afluencia
El Rosario,"1,334,562",SD,Garibaldi/Lagunilla,"783,083",SD,Pantitlán,"4,783,435"
Aquiles Serdán,"442,400",SD,Bellas Artes,"846,940",SD,Puebla,"1,532,406"
Camarones,"590,503",SD,San Juan Letrán,"1,282,607",SD,Ciudad Deportiva,"229,466"
Refinería,"434,352",SD,Salto del Agua,"560,063",SD,Velódromo,"406,117"
Tacuba,"600,229",SD,Doctores,"602,466",SD,Mixiuhca,"830,572"
San Joaquín,"1,068,466",SD,Obrera,"672,151",SD,Jamaica,"461,804"
Polanco,"1,119,710",SD,Chabacano,"312,291",SD,Chabacano,"980,394"
Auditorio,"1,054,563",SD,La Viga,"340,348",SD,Lázaro Cárdenas,"631,706"
Constituyentes,"224,919",SD,Santa Anita,"222,258",SD,Centro Médico,"755,929"
Tacubaya,"241,848",SD,Coyuya,"1,069,183",SD,Chilpancingo,"1,917,976"
San Pedro los Pinos,"529,075",SD,Iztacalco,"929,106",SD,Patriotismo,"748,424"
San Antonio,"544,171",SD,Apatlaco,"815,187",SD,Tacubaya,"2,484,612"
Mixcoac,"1,001,859",SD,Aculco,"453,168",SD,SD,SD
Barranca del Muerto,"1,600,165",SD,Escuadrón 201,"900,271",SD,SD,SD
SD,SD,SD,Atlalilco,"697,620",SD,SD,SD
SD,SD,SD,Iztapalapa,"484,121",SD,SD,SD
SD,SD,SD,Cerro de la Estrella,"517,213",SD,SD,SD
SD,SD,SD,U A M  I,"1,028,172",SD,SD,SD
SD,SD,SD,Constitución de 1917,"3,515,236",SD,SD,SD
SD,SD,SD,SD,SD,SD,SD,SD
LÍNEA A,Afluencia,SD,LÍNEA B,Afluencia,SD,LINEA 12,SD
Pantitlán,"8,347,563",SD,Buenavista,"2,658,298",SD,Tláhuac,"2,282,075"
Agrícola Oriental,"667,329",SD,Guerrero,"393,088",SD,Tlaltenco,"215,759"
Canal de San Juan,"740,060",SD,Garibaldi/Lagunilla,"230,614",SD,Zapotitlán,"686,717"
Tepalcates,"1,117,780",SD,Lagunilla,"832,789",SD,Nopalera,"1,156,127"
Guelatao,"766,788",SD,Tepito,"1,068,291",SD,Olivos,"815,630"
Peñón Viejo,"633,582",SD,Morelos,"246,524",SD,Tezonco,"1,147,988"
Acatitla,"717,912",SD,San Lázaro,"751,589",SD,Periférico Oriente,"1,406,656"
Santa Marta,"1,749,350",SD,Ricardo Flores Magón,"312,779",SD,Calle 11,"704,994"
Los Reyes,"1,157,271",SD,Romero Rubio,"375,279",SD,Lomas Estrella,"388,279"
La Paz,"2,310,591",SD,Oceanía,"471,498",SD,San Andrés Tomatlán,"447,874"
SD,SD,SD,Deportivo Oceanía,"563,385",SD,Culhuacán,"858,126"
SD,SD,SD,Bosque de Aragón,"214,958",SD,Atlalilco,"607,635"
SD,SD,SD,Villa de Aragón,"529,799",SD,Mexicaltzingo,"729,152"
SD,SD,SD,Nezahualcóyotl,"879,969",SD,Ermita,"659,959"
SD,SD,SD,Impulsora,"1,087,511",SD,Eje Central,"509,974"
SD,SD,SD,Río de los Remedios,"964,501",SD,Parque de los Venados,"424,437"
