LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"2,400,619",,Cuatro Caminos,"2,722,297",,Indios Verdes,"3,540,768"
Zaragoza,"1,549,104",,Panteones,"332,284",,Deptvo. 18 de Marzo,"901,713"
Gómez Farías,"1,203,240",,Tacuba,"1,009,952",,Potrero,"461,215"
Blvd. Puerto Aéreo,"862,002",,Cuitláhuac,"455,420",,La Raza,"946,485"
Balbuena,"398,057",,Popotla,"214,288",,Tlatelolco,"455,146"
Moctezuma,"747,269",,Colegio Militar,"305,058",,Guerrero,"320,559"
San Lázaro,"651,993",,Normal,"706,543",,Hidalgo,"437,874"
Candelaria,"1,171,656",,San Cosme,"495,449",,Juárez,"478,835"
Merced,"1,921,425",,Revolución,"672,370",,Balderas,"185,604"
Pino Suárez,"1,476,751",,Hidalgo,"711,764",,Niños Héroes/PJCDMX,"519,639"
Isabel la Católica,"698,166",,Bellas Artes,"524,534",,Hospital General,"506,652"
Salto del Agua,"727,402",,Allende,"470,901",,Centro Médico,"532,592"
Balderas,"668,335",,Zócalo,"916,913",,Etiopía/Plaza de la Trans.,"796,891"
Cuauhtémoc,"661,982",,Pino Suárez,"448,452",,Eugenia,"466,241"
Insurgentes,"1,701,662",,San Antonio Abad,"524,054",,División del Norte,"441,724"
Sevilla,"871,097",,Chabacano,"878,753",,Zapata,"622,317"
Chapultepec,"1,417,130",,Viaducto,"450,071",,Coyoacán,"596,947"
Juanacatlán,"284,008",,Xola,"439,939",,Viveros/Derechos Humanos,"640,498"
Tacubaya,"1,315,554",,Villa de Cortés,"435,451",,Miguel A. de Quevedo,"1,004,337"
Observatorio,"1,750,933",,Nativitas,"457,352",,Copilco,"705,157"
,,,Portales,"564,006",,Universidad,"1,410,258"
,,,Ermita,"386,483",,,
,,,General Anaya,"400,631",,,
,,,Tasqueña,"1,765,903",,,
,,,,,,,
TOTAL,"22,478,385",,TOTAL,"16,288,868",,TOTAL,"15,971,452"
LÍNEA 4,,LÍNEA 5,,LÍNEA 6
Santa Anita,"88,363",,Politécnico,"1,222,884",,El Rosario,"577,409"
Jamaica,"295,616",,Inst. del Petróleo,"211,728",,Tezozómoc,"202,113"
Fray Servando,"343,244",,Autobuses del Norte,"815,014",,Azcapotzalco,"308,873"
Candelaria,"409,662",,La Raza,"574,682",,Ferrería/Arena CDMX,"658,058"
Morelos,"361,784",,Misterios,"320,555",,Norte 45,"345,256"
Canal del Norte,"366,516",,Valle Gómez,"180,762",,Vallejo,"387,822"
Consulado,"137,782",,Consulado,"261,074",,Inst. del Petróleo,"85,399"
Bondojito,"225,857",,Eduardo Molina,"268,286",,Lindavista,"414,815"
Talismán,"179,752",,Aragón,"318,347",,Deptvo. 18 de Marzo,"91,953"
Martín Carrera,"669,700",,Oceanía,"438,326",,La Villa-Basilica,"361,968"
,,,Terminal Aérea,"855,880",,Martín Carrera,"940,802"
,,,Hangares,"186,190",,,
,,,Pantitlán,"4,218,668",,,
TOTAL,"3,078,276",,TOTAL,"9,872,396",,TOTAL,"4,374,468"
LÍNEA 7,,LÍNEA 8,,LÍNEA 9
El Rosario,"1,334,562",,Garibaldi/Lagunilla,"783,083",,Pantitlán,"4,783,435"
Aquiles Serdán,"442,400",,Bellas Artes,"846,940",,Puebla,"1,532,406"
Camarones,"590,503",,San Juan Letrán,"1,282,607",,Ciudad Deportiva,"229,466"
Refinería,"434,352",,Salto del Agua,"560,063",,Velódromo,"406,117"
Tacuba,"600,229",,Doctores,"602,466",,Mixiuhca,"830,572"
San Joaquín,"1,068,466",,Obrera,"672,151",,Jamaica,"461,804"
Polanco,"1,119,710",,Chabacano,"312,291",,Chabacano,"980,394"
Auditorio,"1,054,563",,La Viga,"340,348",,Lázaro Cárdenas,"631,706"
Constituyentes,"224,919",,Santa Anita,"222,258",,Centro Médico,"755,929"
Tacubaya,"241,848",,Coyuya,"1,069,183",,Chilpancingo,"1,917,976"
San Pedro los Pinos,"529,075",,Iztacalco,"929,106",,Patriotismo,"748,424"
San Antonio,"544,171",,Apatlaco,"815,187",,Tacubaya,"2,484,612"
Mixcoac,"1,001,859",,Aculco,"453,168",,,
Barranca del Muerto,"1,600,165",,Escuadrón 201,"900,271",,,
,,,Atlalilco,"697,620",,,
,,,Iztapalapa,"484,121",,,
,,,Cerro de la Estrella,"517,213",,,
,,,U A M  I,"1,028,172",,,
,,,Constitución de 1917,"3,515,236",,,
,,,,,,,
TOTAL,"10,786,822",,TOTAL,"16,031,484",,TOTAL,"15,762,841"
LÍNEA A,,LÍNEA B,,LINEA 12
Pantitlán,"8,347,563",,Buenavista,"2,658,298",,Tláhuac,"2,282,075"
Agrícola Oriental,"667,329",,Guerrero,"393,088",,Tlaltenco,"215,759"
Canal de San Juan,"740,060",,Garibaldi/Lagunilla,"230,614",,Zapotitlán,"686,717"
Tepalcates,"1,117,780",,Lagunilla,"832,789",,Nopalera,"1,156,127"
Guelatao,"766,788",,Tepito,"1,068,291",,Olivos,"815,630"
Peñón Viejo,"633,582",,Morelos,"246,524",,Tezonco,"1,147,988"
Acatitla,"717,912",,San Lázaro,"751,589",,Periférico Oriente,"1,406,656"
Santa Marta,"1,749,350",,Ricardo Flores Magón,"312,779",,Calle 11,"704,994"
Los Reyes,"1,157,271",,Romero Rubio,"375,279",,Lomas Estrella,"388,279"
La Paz,"2,310,591",,Oceanía,"471,498",,San Andrés Tomatlán,"447,874"
,,,Deportivo Oceanía,"563,385",,Culhuacán,"858,126"
,,,Bosque de Aragón,"214,958",,Atlalilco,"607,635"
,,,Villa de Aragón,"529,799",,Mexicaltzingo,"729,152"
,,,Nezahualcóyotl,"879,969",,Ermita,"659,959"
,,,Impulsora,"1,087,511",,Eje Central,"509,974"
,,,Río de los Remedios,"964,501",,Parque de los Venados,"424,437"
,,,Múzquiz,"1,513,791",,Zapata,"692,020"
,,,Ecatepec,"978,527",,20 de Noviembre,"425,832"
,,,Olímpica,"867,436",,Insurgentes Sur,"1,291,180"
,,,Plaza Aragón,"904,462",,Mixcoac,"490,038"
,,,Ciudad Azteca,"2,330,672",,,
,,,,,,,
TOTAL,"18,208,226",,TOTAL,"18,175,760",,TOTAL,"15,940,452"
GRAN TOTAL,"166,969,430"
"* El total contempla el rubro de beneficiados por la cancelación de doble pago de la correspondencia Pantitlán, el cual asciende a 10,049,688"
LÍNEA 1,,LÍNEA 2,,LÍNEA 3
Pantitlán,"2,807,529",,Cuatro Caminos,"4,144,051",,Indios Verdes,"5,974,944"
Zaragoza,"2,091,170",,Panteones,"550,592",,Deptvo. 18 de Marzo,"1,516,986"
Gómez Farías,"1,861,026",,Tacuba,"1,811,469",,Potrero,"758,479"
Blvd. Puerto Aéreo,"1,140,398",,Cuitláhuac,"811,105",,La Raza,"1,598,446"
Balbuena,"509,057",,Popotla,"326,610",,Tlatelolco,"826,159"
Moctezuma,"1,115,398",,Colegio Militar,"513,309",,Guerrero,"524,018"
San Lázaro,"914,330",,Normal,"1,350,340",,Hidalgo,"601,861"
Candelaria,"1,440,474",,San Cosme,"792,438",,Juárez,"701,603"
Merced,"2,838,029",,Revolución,"1,257,965",,Balderas,"299,107"
Pino Suárez,"1,823,494",,Hidalgo,"1,402,101",,Niños Héroes/PJCDMX,"971,745"
